lalala,lalala,lalala,
1,Nanggroe Aceh Darusalarn,Provinsi,
2,Sumatera Utara,Provinsi,
3,Sumatera Barat,Provinsi,
4,Riau,Provinsi,
5,Jambi,Provinsi,
6,Sumatera Selatan,Provinsi,
7,Bengkulu,Provinsi,
8,Lampung,Provinsi,
9,Kepulauan Bangka Belitung,Provinsi,
10,Kepulauan Riau,Provinsi,
11,DKI Jakarta,Provinsi,https://dl.dropboxusercontent.com/u/45417138/Jakarta.kml
12,Jawa Barat,Provinsi,https://dl.dropboxusercontent.com/u/45417138/Jawa%20Barat.kml
13,Jawa Tengah,Provinsi,https://dl.dropboxusercontent.com/u/45417138/Jawa%20Tengah.kml
14,Banten,Provinsi,https://dl.dropboxusercontent.com/u/45417138/Banten.kml
15,Jawa Timur,Provinsi,https://dl.dropboxusercontent.com/u/45417138/Jawa%20Timur.kml
16,Dl Yogyakarta,Provinsi,
17,Bali,Provinsi,
18,Nusa Tenggara Barat,Provinsi,
19,Nusa Tenggara Timur,Provinsi,
20,Kalimantan Barat,Provinsi,
21,Kalimantan Tengah,Provinsi,
22,Kalimantan Selatan,Provinsi,
23,Kalimantan Timur,Provinsi,
24,Kalimantan Utara,Provinsi,
25,Sulawesi Utara,Provinsi,
26,Sulawesi Tengah,Provinsi,
27,Sulawesi Selatan,Provinsi,
28,Sulawesi Tenggara,Provinsi,
29,Gorontalo,Provinsi,
30,Sulawesi Barat,Provinsi,
31,Maluku,Provinsi,
32,Maluku Utara,Provinsi,
33,Papua,Provinsi,
34,Papua Barat,Provinsi,
35,Kab. Bandung,Kabupaten,https://dl.dropboxusercontent.com/u/45417138/Bandung%20Selatan.kml
36,Kab. Bandung Barat,Kabupaten,https://dl.dropboxusercontent.com/u/45417138/Bandung%20Barat.kml
37,Kab. Aceh Barat,Kabupaten,
38,Kab. Asahan,Kabupaten,
39,Kab. Agam,,
